Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"suite()",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"testAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"setUp()",,protected,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"",,public,false,false,,,,,,,,,,,0.0,41,,,,0.0,6,1,0,0,0,,0,0,6,0,0,0,0,0,0,,6,0,0,,0,1,0,0,0,5,3,,false,6,5,0.8333333333333334
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"testDivideByZero()",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"main(String[])",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,SimpleTest,"testEquals()",,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"testElementAt()",,public,false,false,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"testContains()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"testCapacity()",,public,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"main(String[])",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"testRemoveAll()",,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"suite()",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"setUp()",,protected,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"testRemoveElement()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,ListTest,"",,public,false,false,,,,,,,,,,,0.0,59,,,,0.0,7,1,0,0,0,,0,0,5,0,0,0,1,0,0,,8,0,0,,0,0,0,0,0,7,5,,false,10,9,0.875
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"subtract(IMoney)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"hashCode()",,public,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"appendTo(MoneyBag)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"findMoney(String)",,private,false,false,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"add(IMoney)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"negate()",,public,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"create(IMoney, IMoney)",,public,true,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"appendBag(MoneyBag)",,,false,false,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"",,public,false,false,,,,,,,,,,,0.0,140,,,,0.0,0,1,0,0,0,,0,0,17,0,0,0,0,12,0,,17,0,0,,0,0,0,1,0,12,5,,false,36,35,0.9411764705882353
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"equals(Object)",,public,false,false,,,,,,,7,,,,,,20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"simplify()",,private,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"addMoney(Money)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"addMoneyBag(MoneyBag)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"multiply(int)",,public,false,false,,,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"toString()",,public,false,false,,,,,,,2,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"contains(Money)",,private,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"appendMoney(Money)",,,false,false,,,,,,,4,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyBag,"isZero()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testPrint()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testMixedSimpleAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimpleNegate()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testNormalize4()",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagSumAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagMultiply()",,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testMoneyHash()",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagNegate()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testNormalize3()",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagSubtract()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testMoneyBagEquals()",,public,false,false,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testMoneyBagHash()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagNotEquals()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimpleSubtract()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testIsZero()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimpleAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testBagSimpleAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimpleBagAdd()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"setUp()",,protected,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testMoneyEquals()",,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"main(String[])",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimpleMultiply()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testSimplify()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"",,public,false,false,,,,,,,,,,,0.0,151,,,,0.0,35,0,0,0,0,,0,0,28,0,0,0,0,0,0,,24,0,0,,0,0,0,6,0,23,39,,false,24,24,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,MoneyTest,"testNormalize2()",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"add(IMoney)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"Money(int, String)",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"isZero()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"currency()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"",,public,false,false,,,,,,,,,,,0.0,81,,,,0.0,0,5,0,0,0,,0,0,3,0,0,0,0,5,0,,13,0,0,,0,0,0,2,0,13,3,,false,18,13,0.6153846153846154
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"hashCode()",,public,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"amount()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"equals(Object)",,public,false,false,,,,,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"addMoney(Money)",,public,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"addMoneyBag(MoneyBag)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"multiply(int)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"negate()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"toString()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"subtract(IMoney)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,Money,"appendTo(MoneyBag)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"addMoney(Money)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"addMoneyBag(MoneyBag)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"add(IMoney)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"negate()",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"subtract(IMoney)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"isZero()",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"multiply(int)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"appendTo(MoneyBag)",,,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples/money,junit.samples.money,IMoney,"",,public,false,false,,,,,,,,,,,0.0,18,,,,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,8,0,0,,0,0,0,0,0,0,0,,false,8,8,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,AllTests,"main(String[])",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,AllTests,"suite()",,public,true,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/samples,junit.samples,AllTests,"",,public,false,false,,,,,,,,,,,0.0,14,,,,0.0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,2,2,,false,2,2,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ExtensionTest,"testRunningErrorInTestSetup()",,public,false,false,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ExtensionTest,"testRunningErrorsInTestSetup()",,public,false,false,,,,,,,1,,,,,,24,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,,"runTest()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,TornDown,"TornDown(Test)",ExtensionTest,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,TornDown,"tearDown()",ExtensionTest,protected,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ExtensionTest,"",,public,false,false,,,,,,,,,,,0.0,84,,,,0.0,6,0,0,0,0,,0,0,15,0,0,0,0,0,0,,10,0,0,,0,0,0,0,0,9,15,,false,10,10,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ExtensionTest,"testSetupErrorDontTearDown()",,public,false,false,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ExtensionTest,"testSetupErrorInTestSetup()",,public,false,false,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,,"setUp()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"",,public,false,false,,,,,,,,,,,0.0,53,,,,0.0,12,0,0,0,0,,0,0,10,0,0,0,1,0,0,,6,0,0,,0,0,0,0,0,5,9,,false,7,7,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"createActiveTestSuite()",,,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"testActiveRepeatedTest0()",,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,SuccessTest,"runTest()",ActiveTestTest,public,false,false,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"testActiveTest()",,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"testActiveRepeatedTest1()",,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,ActiveTestTest,"testActiveRepeatedTest()",,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,AllTests,"",,public,false,false,,,,,,,,,,,0.0,14,,,,0.0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,2,1,,false,2,2,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,AllTests,"suite()",,public,true,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,AllTests,"main(String[])",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"testRepeatedOnce()",,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"",,public,false,false,,,,,,,,,,,0.0,52,,,,0.0,7,0,0,0,0,,0,0,7,0,0,0,0,0,0,,5,0,0,,0,0,0,1,0,5,10,,false,6,6,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"RepeatedTestTest(String)",,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"testRepeatedNegative()",,public,false,false,,,,,,,2,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,SuccessTest,"runTest()",RepeatedTestTest,public,false,false,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"testRepeatedZero()",,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/extensions,junit.tests.extensions,RepeatedTestTest,"testRepeatedMoreThanOnce()",,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests,junit.tests,WasRun,"",,public,false,false,,,,,,,,,,,0.0,9,,,,0.0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,,1,0,0,,0,1,0,0,0,0,0,,false,1,1,1.0
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests,junit.tests,WasRun,"runTest()",,protected,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/runner,junit.tests.runner,ResultTest,"testRunFailureResultCanBeSerialised()",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/junit4/src/test/java/junit/tests/runner,junit.tests.runner,ResultWithFixedRunTime,"getFailures()",ResultTest,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
